Time, sec;Temperature 1, C;Temperature 2, C;Set point, C;Relay 1;Relay 2
645;378.2;124.9;380;1;0
646;378.3;124.9;380;0;1
647;378.2;124.9;380;0;0
648;378.2;124.9;380;0;0
649;378.3;124.9;380;0;0
650;378.2;124.9;380;0;0
651;378.3;124.9;380;1;0
652;378.2;124.9;380;0;1
653;378.2;124.9;380;0;0
654;378.3;124.9;380;0;0
655;378.3;124.9;380;0;0
656;378.3;124.9;380;0;0
657;378.3;124.9;380;0;0
658;378.3;124.9;380;1;0
659;378.3;124.9;380;0;1
660;378.3;124.9;380;0;0
661;378.4;124.9;380;0;0
662;378.5;124.9;380;0;0
663;378.4;124.9;380;0;0
664;378.5;124.9;380;1;0
665;378.4;124.9;380;0;1
666;378.5;124.9;380;0;0
667;378.5;124.9;380;0;0
668;378.5;124.9;380;0;0
669;378.5;124.9;380;0;0
670;378.6;124.9;380;1;0
671;378.5;124.9;380;0;1
672;378.6;124.9;380;0;0
673;378.5;124.9;380;0;0
674;378.5;124.9;380;0;0
675;378.6;124.9;380;0;0
676;378.6;124.9;380;0;0
677;378.6;124.9;380;1;0
678;378.6;124.9;380;0;1
679;378.6;124.9;380;0;0
680;378.6;124.9;380;0;0
681;378.7;124.9;380;0;0
682;378.6;124.9;380;0;0
683;378.7;124.9;380;1;0
684;378.7;124.9;380;0;1
685;378.7;124.9;380;0;0
686;378.7;124.9;380;0;0
687;378.7;124.9;380;0;0
688;378.7;124.9;380;0;0
689;378.7;124.9;380;1;0
690;378.8;124.9;380;0;1
691;378.8;124.9;380;0;0
692;378.8;124.9;380;0;0
693;378.8;124.9;380;0;0
694;379;124.9;380;0;0
695;379;124.9;380;0;0
696;379;124.9;380;1;0
697;379;124.9;380;0;1
698;379;124.9;380;0;0
699;379.1;124.9;380;0;0
700;379.1;124.9;380;0;0
701;379;124.9;380;0;0
702;379.1;124.9;380;1;0
703;379.1;124.9;380;0;1
704;379.1;124.9;380;0;0
705;379.2;124.9;380;0;0
706;379.1;124.9;380;0;0
707;379.2;124.9;380;0;0
708;379.2;124.9;380;1;0
709;379.2;124.9;380;0;1
710;379.2;124.9;380;0;0
711;379.2;124.9;380;0;0
712;379.3;124.9;380;0;0
713;379.4;124.9;380;0;0
